title,intl_gross,dom_gross,budget,runtime,num_theaters,num_days,director,genre,mpaa_rating,release_month,release_year,release_date,total_gross
Divergent,299116702.6061098,156293711.23276561,85000000.0,143.0,114.23131782945737,112.0,Neil Burger,Action / Adventure,PG-13,Mar,2014,2014-03-21,363262226.6061098
Metallica Through the Never,8389246.388990242,3598528.101924389,18000000.0,93.0,589.0,31.0,Nimród Antal,Drama,R,Sep,2013,2013-09-27,9544034.388990242
Mud,34315950.865438685,22717333.58654172,30857482.18527316,130.0,960.0,140.0,Jeff Nichols,Drama,PG-13,Apr,2013,2013-04-26,43301889.865438685
The Spectacular Now,7212499.509866628,7212499.509866628,30857482.18527316,95.0,770.0,133.0,James Ponsoldt,Comedy / Drama,R,Aug,2013,2013-08-02,10252185.509866629
Only God Forgives,11190400.310443558,819870.4591834544,30857482.18527316,89.0,81.0,49.0,Nicolas Winding Refn,Drama,R,Jul,2013,2013-07-19,12506531.310443558
ParaNorman,114384563.54643413,59790185.549796596,60000000.0,93.0,114.23131782945737,140.0,Sam Fell,Animation,PG,Aug,2012,2012-08-17,138637948.54643413
End of Watch,51380869.038737945,43776171.41353868,7000000.0,109.0,114.23131782945737,119.0,David Ayer,Crime Drama,R,Sep,2012,2012-09-21,77466474.03873795
Alex Cross,36927409.032640226,27639082.682648502,35000000.0,101.0,114.23131782945737,77.0,Rob Cohen,Crime Thriller,PG-13,Oct,2012,2012-10-19,52991560.032640226
Looper,188442866.42194483,70982249.40373006,30000000.0,118.0,114.23131782945737,96.0,Rian Johnson,Sci-Fi Action,R,Sep,2012,2012-09-28,221158784.42194483
Battle of the Year,17413547.57418751,9352428.034358272,20000000.0,109.0,114.23131782945737,31.0,Benson Lee,Drama,PG-13,Sep,2013,2013-09-20,17862404.57418751
One Direction: This is Us,72111093.28227957,30380891.902282394,10000000.0,92.0,114.23131782945737,38.0,Morgan Spurlock,Concert,PG,Aug,2013,2013-08-30,93647611.28227957
The Mortal Instruments: City of Bones,100377357.0820366,32792609.775709677,60000000.0,120.0,114.23131782945737,47.0,Harald Zwart,Fantasy Drama,PG-13,Aug,2013,2013-08-21,114103259.0820366
The Call,72152634.58646874,54580705.00289753,13000000.0,95.0,114.23131782945737,87.0,Brad Anderson,Thriller,R,Mar,2013,2013-03-15,86764789.58646874
Elysium,301080492.8978309,97908389.4411415,115000000.0,109.0,114.23131782945737,108.0,Neill Blomkamp,Sci-Fi,R,Aug,2013,2013-08-09,336255550.8978309
Sinister,82967643.09032466,51338718.1867122,3000000.0,110.0,114.23131782945737,84.0,Scott Derrickson,Horror,R,Oct,2012,2012-10-12,96876275.09032466
The Perks of Being a Wallflower,35641685.8029391,18942792.118957814,30857482.18527316,103.0,745.0,140.0,Stephen Chbosky,Drama,PG-13,Sep,2012,2012-09-21,53282780.8029391
The Last Stand,50854171.18111926,12679461.406525668,45000000.0,107.0,114.23131782945737,42.0,Jee-woon Kim,Action,R,Jan,2013,2013-01-18,61543779.18111926
The Impossible,192464929.5267298,20306077.14417624,30857482.18527316,107.0,886.0,119.0,J.A. Bayona,Drama,PG-13,Dec,2012,2012-12-21,202356253.5267298
You're Next,19459603.062882848,19459603.062882848,30857482.18527316,96.0,114.23131782945737,56.0,Adam Wingard,Horror,R,Aug,2013,2013-08-23,23877628.062882848
The Big Wedding,48948186.06764338,22958565.66559494,35000000.0,89.0,114.23131782945737,70.0,Justin Zackham,Romantic Comedy,R,Apr,2013,2013-04-26,54404525.06764338
Texas Chainsaw 3D,49708510.83418828,36134984.38939375,30857482.18527316,92.0,114.23131782945737,56.0,John Luessenhop,Horror,R,Jan,2013,2013-01-04,56140298.83418828
Snitch,45171919.4762982,45171919.4762982,30857482.18527316,112.0,114.23131782945737,98.0,Ric Roman Waugh,Action,PG-13,Feb,2013,2013-02-22,60592170.4762982
Warm Bodies,123088380.55709852,69846486.13023004,35000000.0,97.0,114.23131782945737,98.0,Jonathan Levine,Drama,PG-13,Feb,2013,2013-02-01,137405978.5570985
Now You See Me,370087974.1054357,123870517.66497679,75000000.0,116.0,114.23131782945737,119.0,Louis Leterrier,Thriller,PG-13,May,2013,2013-05-31,402391768.1054357
Killing Them Softly,40495464.08355619,16042173.779454166,15000000.0,97.0,114.23131782945737,84.0,Andrew Dominik,Crime Thriller,R,Nov,2012,2012-11-30,46271844.08355619
The Master,30168975.09168358,17484766.164969467,30857482.18527316,137.0,864.0,182.0,Paul Thomas Anderson,Drama,R,Sep,2012,2012-09-14,33852466.09168358
Fruitvale Station,18293567.695325747,16942011.683186166,30857482.18527316,90.0,114.23131782945737,112.0,Ryan Coogler,Drama,R,Jul,2013,2013-07-12,24053906.695325747
Dark Skies,27801262.141253535,18328119.159501538,30857482.18527316,97.0,114.23131782945737,91.0,Scott Charles Stewart,Thriller,PG-13,Feb,2013,2013-02-22,34262622.14125353
Quartet,62627933.24845357,19350289.87770275,30857482.18527316,98.0,725.0,168.0,Dustin Hoffman,Comedy,PG-13,Jan,2013,2013-01-11,65433218.24845357
Escape From Planet Earth,78492486.82014278,59989701.62836918,40000000.0,89.0,114.23131782945737,161.0,Cal Brunker,Animation,PG,Feb,2013,2013-02-15,89795803.82014278
Django Unchained,454133219.9385001,173814942.82115385,100000000.0,165.0,114.23131782945737,143.0,Quentin Tarantino,Western,R,Dec,2012,2012-12-25,517542139.9385001
Silver Linings Playbook,252399542.14552644,141025574.99307472,21000000.0,122.0,114.23131782945737,203.0,David O. Russell,Comedy,R,Nov,2012,2012-11-16,283718550.1455264
Paranoia,14504749.27475886,7770596.6199770775,35000000.0,115.0,114.23131782945737,76.31803628601921,Robert Luketic,Thriller,PG-13,Aug,2013,2013-08-16,15422467.27475886
Movie 43,34132671.43103663,9302025.006159935,6000000.0,97.0,114.23131782945737,49.0,"Elizabeth Banks*,Steven Brill*,Steve Carr*,James Gunn*,Brett Ratner*",Comedy,R,Jan,2013,2013-01-25,37273353.43103663
21 and Over,50575245.734792255,27023291.790330403,13000000.0,93.0,114.23131782945737,77.0,"Jon Lucas,Scott Moore",Comedy,R,Mar,2013,2013-03-01,59378251.734792255
Safe Haven,102689662.02689767,75074354.04130375,28000000.0,115.0,114.23131782945737,106.0,Lasse Hallstrom,Romance,PG-13,Feb,2013,2013-02-14,132241382.02689767
Parker,48629674.32581978,18536429.64976369,35000000.0,118.0,114.23131782945737,70.0,Taylor Hackford,Action / Crime,R,Jan,2013,2013-01-25,59705382.32581978
Insidious Chapter 2,170373344.55783686,87950608.4326292,5000000.0,105.0,114.23131782945737,98.0,James Wan,Horror,PG-13,Sep,2013,2013-09-13,179629968.55783686
Olympus Has Fallen,179160238.45224655,104090681.44249797,70000000.0,120.0,114.23131782945737,112.0,Antoine Fuqua,Thriller,R,Mar,2013,2013-03-22,217728730.45224655
Machete Kills,15791757.381491004,8426277.915323429,30857482.18527316,107.0,114.23131782945737,35.0,Robert Rodriguez,Action,R,Oct,2013,2013-10-11,22075268.381491005
A Haunted House,63281761.59960851,42132313.418184474,30857482.18527316,80.0,114.23131782945737,52.0,Michael Tiddes,Comedy,R,Jan,2013,2013-01-11,72635656.59960851
Beasts of the Southern Wild,22535130.271348555,13661041.924092093,30857482.18527316,91.0,318.0,268.0,Benh Zeitlin,Drama,PG-13,Jun,2012,2012-06-27,33712031.27134855
The East,2526896.0846851566,2422021.126989101,30857482.18527316,116.0,195.0,76.31803628601921,Zal Batmanglij,Drama,PG-13,May,2013,2013-05-31,2840711.0846851566
Anna Karenina,73590395.42845196,13683057.39278901,30857482.18527316,130.0,422.0,105.0,Joe Wright,Drama,R,Nov,2012,2012-11-16,79922339.42845196
Admission,18947503.372038618,18947503.372038618,13000000.0,117.0,114.23131782945737,77.0,Paul Weitz,Comedy / Drama,PG-13,Mar,2013,2013-03-22,22711139.372038618
The Place Beyond the Pines,37338359.58121026,22521025.671175368,15000000.0,140.0,114.23131782945737,91.0,Derek Cianfrance,Drama,R,Mar,2013,2013-03-29,44028964.58121026
The World's End,48495671.00125774,27362599.43732105,20000000.0,109.0,114.23131782945737,105.0,Edgar Wright,Comedy,R,Aug,2013,2013-08-23,57781649.00125774
The Last Exorcism Part II,15971833.884536631,15971833.884536631,5000000.0,88.0,114.23131782945737,35.0,Ed Gass-Donnelly,Horror,PG-13,Mar,2013,2013-03-01,18071264.88453663
Before Midnight,11760007.560536923,8538302.649158427,30857482.18527316,108.0,897.0,168.0,Richard Linklater,Drama,R,May,2013,2013-05-24,14150596.560536923
The Descendants,193145028.2396561,89993417.32291865,30857482.18527316,115.0,114.23131782945737,156.0,Alexander Payne,Comedy / Drama,R,Nov,2011,2011-11-16,216456304.2396561
The Best Exotic Marigold Hotel,146089525.67889404,49550595.79048233,10000000.0,118.0,114.23131782945737,76.31803628601921,John Madden,Comedy / Drama,PG-13,May,2012,2012-05-04,169340019.67889404
The Woman in Black,136368363.3209927,58007509.10215423,30857482.18527316,95.0,114.23131782945737,91.0,James Watkins,Horror Thriller,PG-13,Feb,2012,2012-02-03,147938413.3209927
Midnight in Paris,164677281.22415408,61914537.14295875,17000000.0,88.0,114.23131782945737,308.0,Woody Allen,Romantic Comedy,PG-13,May,2011,2011-05-20,188715372.22415408
The Darkest Hour,70424949.80559173,23367354.035005044,30000000.0,89.0,114.23131782945737,68.0,Chris Gorak,Sci-Fi Thriller,PG-13,Dec,2011,2011-12-25,79748559.80559173
The Paperboy,1445421.588369034,740168.5772276279,30857482.18527316,107.0,76.0,49.0,Lee Daniels,Thriller,R,Oct,2012,2012-10-05,5504732.588369034
Bernie,9829045.734644633,9829045.734644633,30857482.18527316,104.0,332.0,76.31803628601921,Richard Linklater,Comedy / Drama,PG-13,Apr,2012,2012-04-27,12675689.734644633
For Greater Glory,10273578.628012927,6056464.940373006,30857482.18527316,143.0,757.0,76.31803628601921,Dean Wright,Foreign,R,Jun,2012,2012-06-01,13094423.628012927
The Collection,7304743.403399044,7304743.403399044,30857482.18527316,81.0,114.23131782945737,31.0,Marcus Dunstan,Horror Thriller,R,Nov,2012,2012-11-30,10878608.403399043
Silent House,13987655.777764227,13617308.85371569,30857482.18527316,85.0,114.23131782945737,56.0,"Chris Kentis,Laura Lau",Horror,R,Mar,2012,2012-03-09,17551457.777764227
Immortals,247261313.7207865,90995801.73753773,75000000.0,110.0,114.23131782945737,105.0,Tarsem,Fantasy Drama,R,Nov,2011,2011-11-11,284218699.7207865
Courageous,37619473.775201276,37619473.775201276,2000000.0,130.0,114.23131782945737,119.0,Alex Kendrick,Drama,PG-13,Sep,2011,2011-09-30,62666559.775201276
Resident Evil: Retribution,256234415.58089498,45209093.2634128,65000000.0,95.0,114.23131782945737,59.0,Paul W.S. Anderson,Action Horror,R,Sep,2012,2012-09-14,278469433.58089495
Think Like a Man,102567151.91093844,97737967.41029818,12000000.0,122.0,114.23131782945737,80.0,Tim Story,Comedy,PG-13,Apr,2012,2012-04-20,122523675.91093844
The Vow,209376566.45382717,133467943.55950068,30000000.0,104.0,114.23131782945737,94.0,Michael Sucsy,Drama,PG-13,Feb,2012,2012-02-10,244933759.45382717
Dredd,38035723.09380907,14321866.841816423,50000000.0,95.0,114.23131782945737,42.0,Pete Travis,Action / Adventure,R,Sep,2012,2012-09-21,58855074.09380907
Man on a Ledge,49346837.66858019,19879153.63641907,42000000.0,102.0,114.23131782945737,35.0,Asger Leth,Thriller,PG-13,Jan,2012,2012-01-27,56980880.66858019
Tyler Perry's Good Deeds,37984761.14323545,37394365.22696586,30857482.18527316,129.0,114.23131782945737,84.0,Tyler Perry,Drama,PG-13,Feb,2012,2012-02-24,51194487.14323545
What to Expect When You're Expecting,90090361.98785682,43935067.98679408,40000000.0,110.0,114.23131782945737,77.0,Kirk Jones,Romantic Comedy,PG-13,May,2012,2012-05-18,97926093.98785682
The Cabin in the Woods,70982115.95076527,44918428.435586296,30857482.18527316,95.0,114.23131782945737,91.0,Drew Goddard,Horror Comedy,R,Apr,2012,2012-04-13,85039371.95076527
The Possession,91224256.3133183,52452517.69854613,14000000.0,91.0,114.23131782945737,84.0,Ole Bornedal,Horror,PG-13,Aug,2012,2012-08-31,100152985.3133183
Tyler Perry's Madea's Witness Protection,71423217.50150265,70092958.3483889,20000000.0,114.0,114.23131782945737,84.0,Tyler Perry,Comedy,PG-13,Jun,2012,2012-06-29,86074471.50150265
The Expendables 2,336275800.2804951,90778114.51100639,100000000.0,102.0,114.23131782945737,98.0,Simon West,Action,R,Aug,2012,2012-08-17,374325741.2804951
The Hunger Games,741352277.2671759,435601892.1358572,78000000.0,142.0,114.23131782945737,168.0,Gary Ross,Action / Adventure,PG-13,Mar,2012,2012-03-23,963684624.2671759
Coriolanus,1145135.3355923935,808399.341446205,30857482.18527316,122.0,21.0,133.0,Ralph Fiennes,Period Drama,R,Jan,2012,2012-01-20,4353385.335592394
Lawless,57306389.93005043,39929262.655992754,30857482.18527316,115.0,114.23131782945737,93.0,John Hillcoat,Crime Drama,R,Aug,2012,2012-08-29,80153347.93005043
The Artist,145404139.17871067,48679520.63377182,15000000.0,100.0,114.23131782945737,210.0,Michel Hazanavicius,Comedy / Drama,PG-13,Nov,2011,2011-11-25,158430678.17871067
The Raven,31663318.401700392,17090810.877636176,26000000.0,103.0,114.23131782945737,77.0,James McTeigue,Thriller,R,Apr,2012,2012-04-27,36873281.40170039
Haywire,35629385.71007953,20223351.252733085,23000000.0,93.0,114.23131782945737,63.0,Steven Soderbergh,Action,R,Jan,2012,2012-01-20,45532158.71007953
Mirror Mirror,195394914.99185517,69326324.4468061,85000000.0,106.0,114.23131782945737,140.0,Tarsem,Fantasy,PG,Mar,2012,2012-03-30,225040667.99185517
Act of Valor,86768732.64074846,74747376.0491999,12000000.0,111.0,114.23131782945737,105.0,"Mike McCoy,Scott Waugh",Thriller,R,Feb,2012,2012-02-24,130979855.64074846
Seeking a Friend for the End of the World,10287930.693659242,7557428.585067553,10000000.0,94.0,114.23131782945737,14.0,Lorene Scafaria,Comedy / Drama,R,Jun,2012,2012-06-22,12976685.693659242
Moonrise Kingdom,72879375.11398381,48590188.18401178,16000000.0,93.0,924.0,161.0,Wes Anderson,Drama,PG-13,May,2012,2012-05-25,87464589.11398381
Silent Hill: Revelation 3D,55839705.54770595,18714543.776579525,20000000.0,94.0,114.23131782945737,52.0,Michael J. Bassett,Horror,R,Oct,2012,2012-10-26,63280921.54770595
Killer Elite,61442374.469167195,27379119.076371815,70000000.0,100.0,114.23131782945737,56.0,Gary McKendry,Action Thriller,R,Sep,2011,2011-09-23,73316808.4691672
Faster,40048794.552591994,26124452.903841216,24000000.0,98.0,114.23131782945737,79.0,"George Tillman, Jr.",Action,R,Nov,2010,2010-11-24,57732507.552591994
Don't Be Afraid of the Dark,40312108.35008602,26204093.962540954,25000000.0,100.0,114.23131782945737,84.0,Troy Nixey,Horror,R,Aug,2011,2011-08-26,46160805.35008602
Insidious,105712583.62489386,58854724.38305496,30857482.18527316,98.0,114.23131782945737,161.0,James Wan,Horror,PG-13,Apr,2011,2011-04-01,120491504.62489386
Inside Job,8848495.215174085,4848009.700260484,2000000.0,120.0,250.0,210.0,Charles Ferguson,Documentary,PG-13,Oct,2010,2010-10-08,16512118.215174085
Beastly,47038284.88399077,30365604.73515042,17000000.0,95.0,114.23131782945737,77.0,Daniel Barnz,Fantasy,PG-13,Mar,2011,2011-03-04,55208058.88399077
The Mechanic,82959815.09226945,31734210.562685885,40000000.0,100.0,114.23131782945737,70.0,Simon West,Action,R,Jan,2011,2011-01-28,101086474.09226945
Winter's Bone,15509226.75863081,7342159.882598965,2000000.0,100.0,141.0,315.0,Debra Granik,Drama,R,Jun,2010,2010-06-11,19881728.758630812
Biutiful,27403986.433299694,5558908.030354896,30857482.18527316,147.0,191.0,133.0,Alejandro González Iñárritu,Foreign,R,Jan,2011,2011-01-28,30432616.433299694
The Conspirator,16867521.66587386,12573384.626409827,25000000.0,122.0,849.0,154.0,Robert Redford,Historical Drama,PG-13,Apr,2011,2011-04-15,21965005.66587386
The Other Woman,492760.5169401482,27703.89198849466,30857482.18527316,102.0,9.0,76.31803628601921,Don Roos,Drama,R,Feb,2011,2011-02-04,18417860.516940147
Super,357117.91161159246,357117.91161159246,30857482.18527316,90.0,39.0,76.31803628601921,James Gunn,Comedy,R,Apr,2011,2011-04-01,1810567.9116115924
The Next Three Days,75820033.99640459,23773513.836445685,30000000.0,122.0,114.23131782945737,49.0,Paul Haggis,Action Thriller,PG-13,Nov,2010,2010-11-19,88732960.99640459
The Warrior's Way,12463701.587115237,6369617.257952086,42000000.0,100.0,114.23131782945737,63.0,Sngmoo Lee,Western,R,Dec,2010,2010-12-03,17156229.587115236
Burlesque,100630511.23454526,44335828.198261,55000000.0,100.0,114.23131782945737,79.0,Steven Antin,Musical,PG-13,Nov,2010,2010-11-24,141557752.23454526
Country Strong,23077172.988956966,22728390.484646145,15000000.0,112.0,114.23131782945737,58.0,Shana Feste,Music Drama,PG-13,Dec,2010,2010-12-22,35911391.988956966
Priest,85334842.73834239,31750695.811397757,60000000.0,87.0,114.23131782945737,76.31803628601921,Scott Charles Stewart,Action Horror,PG-13,May,2011,2011-05-13,98405702.73834239
Colombiana,66435567.56489537,39955428.50497246,40000000.0,107.0,114.23131782945737,70.0,Olivier Megaton,Action,PG-13,Aug,2011,2011-08-26,82762563.56489536
Jumping the Broom,41093917.565206565,40641449.35862611,30857482.18527316,113.0,114.23131782945737,56.0,Salim Akil,Comedy,PG-13,May,2011,2011-05-06,51750655.565206565
The Roommate,44125674.454318725,40646585.197942555,16000000.0,93.0,114.23131782945737,76.31803628601921,Christian E. Christiansen,Thriller,PG-13,Feb,2011,2011-02-04,50527834.454318725
Soul Surfer,51313703.84326417,47787850.44336464,18000000.0,105.0,114.23131782945737,105.0,Sean McNamara,Sports Drama,PG,Apr,2011,2011-04-08,72967879.84326416
Friends with Benefits,162958824.81206015,60809246.33113866,35000000.0,120.0,114.23131782945737,63.0,Will Gluck,Comedy,R,Jul,2011,2011-07-22,191542138.81206015
Red,223706046.068166,101597687.33462964,58000000.0,111.0,114.23131782945737,112.0,Robert Schwentke,Action Comedy,PG-13,Oct,2010,2010-10-15,285766524.068166
Drive Angry,31527058.505283654,11682898.959095577,30857482.18527316,104.0,114.23131782945737,56.0,Patrick Lussier,Action,R,Feb,2011,2011-02-25,40233523.505283654
50/50,42703619.065435514,38155583.26052841,8000000.0,99.0,114.23131782945737,91.0,Jonathan Levine,Comedy / Drama,R,Sep,2011,2011-09-30,54204087.065435514
Source Code,160551041.34294185,59620879.80403576,32000000.0,94.0,114.23131782945737,105.0,Duncan Jones,Sci-Fi Thriller,PG-13,Apr,2011,2011-04-01,179222049.34294185
Blue Valentine,13889264.76721576,10911027.989874162,30857482.18527316,112.0,450.0,114.0,Derek Cianfrance,Drama,R,Dec,2010,2010-12-29,19429240.76721576
I Don't Know How She Does It,33292503.54273825,10529161.479690049,24000000.0,95.0,114.23131782945737,70.0,Douglas McGrath,Comedy,PG-13,Sep,2011,2011-09-16,37244486.54273825
Our Idiot Brother,27042561.95750848,27042561.95750848,5000000.0,90.0,114.23131782945737,91.0,Jesse Peretz,Comedy,R,Aug,2011,2011-08-26,36051394.957508475
Scream 4,105853741.29128341,41606431.39411129,40000000.0,103.0,114.23131782945737,77.0,Wes Craven,Horror,R,Apr,2011,2011-04-15,113276115.29128341
Machine Gun Preacher,3638229.443538026,587020.0045345627,30000000.0,123.0,93.0,70.0,Marc Forster,Action,R,Sep,2011,2011-09-23,7452018.443538026
Take Me Home Tonight,7549638.027020658,7549638.027020658,30857482.18527316,114.0,114.23131782945737,49.0,Michael Dowse,Comedy,R,Mar,2011,2011-03-04,12251104.02702066
Shark Night 3D,43737429.84755867,20570766.933968764,25000000.0,95.0,114.23131782945737,84.0,David R. Ellis,Horror,PG-13,Sep,2011,2011-09-02,47688039.84755867
Season of the Witch,99847808.19404371,27054668.720675383,40000000.0,98.0,114.23131782945737,76.31803628601921,Dominic Sena,Period Action,PG-13,Jan,2011,2011-01-07,110158806.19404371
Limitless,176370208.85484508,86359530.40424292,27000000.0,105.0,114.23131782945737,112.0,Neil Burger,Action Thriller,PG-13,Mar,2011,2011-03-18,205506745.85484508
For Colored Girls,42431983.352533296,42412515.930586636,21000000.0,120.0,114.23131782945737,77.0,Tyler Perry,Drama,R,Nov,2010,2010-11-05,63596341.352533296
Warrior,25125745.330067262,14882399.356269922,25000000.0,139.0,114.23131782945737,56.0,Gavin O'Connor,Action,PG-13,Sep,2011,2011-09-09,43917131.33006726
Abduction,89451822.19890726,30607068.7324119,35000000.0,106.0,114.23131782945737,84.0,John Singleton,Action,PG-13,Sep,2011,2011-09-23,99617654.19890726
The Lincoln Lawyer,81738849.66146377,63213649.49608561,40000000.0,119.0,114.23131782945737,126.0,Brad Furman,Crime Drama,R,Mar,2011,2011-03-18,101989721.66146377
Cedar Rapids,7476663.994416264,7476663.994416264,30857482.18527316,86.0,462.0,105.0,Miguel Arteta,Comedy,R,Feb,2011,2011-02-11,9752026.994416263
127 Hours,68277387.09615879,20610905.352753423,18000000.0,93.0,916.0,161.0,Danny Boyle,Drama,R,Nov,2010,2010-11-05,81858699.09615879
Black Swan,370281253.60237736,120229347.83431779,13000000.0,103.0,114.23131782945737,154.0,Darren Aronofsky,Drama / Thriller,R,Dec,2010,2010-12-03,403802692.60237736
The Eagle,29555365.87608196,21238641.809201606,25000000.0,114.0,114.23131782945737,56.0,Kevin Macdonald,Period Action,PG-13,Feb,2011,2011-02-11,37497220.87608196
The Debt,49730756.001227,33974724.55092269,20000000.0,113.0,114.23131782945737,65.0,John Madden,Drama / Thriller,R,Aug,2011,2011-08-31,60009721.001227
Hanna,69504456.58316255,43871072.82098702,30000000.0,111.0,114.23131782945737,91.0,Joe Wright,Adventure,PG-13,Apr,2011,2011-04-08,80135866.58316255
Bad Lieutenant: Port of Call New Orleans,12098615.540629355,1944754.021171173,25000000.0,121.0,96.0,105.0,Werner Herzog,Crime Drama,R,Nov,2009,2009-11-20,18399417.540629357
The Switch,56015328.11681403,31227266.85401915,19000000.0,100.0,114.23131782945737,91.0,"Josh Gordon,Will Speck",Comedy,PG-13,Aug,2010,2010-08-20,66181779.11681403
Hot Tub Time Machine,72586642.2452948,56528991.29911582,36000000.0,100.0,114.23131782945737,77.0,Steve Pink,Comedy,R,Mar,2010,2010-03-26,105379318.2452948
Extraordinary Measures,17012684.357045896,13566170.536742855,31000000.0,106.0,114.23131782945737,21.0,Tom Vaughan,Drama,PG,Jan,2010,2010-01-22,24512339.357045896
The Road,31574814.421754755,9274106.750816874,25000000.0,119.0,396.0,117.0,John Hillcoat,Drama / Thriller,R,Nov,2009,2009-11-25,42352234.421754755
A Single Man,28523722.41990892,10484070.906184014,7000000.0,99.0,354.0,140.0,Tom Ford,Drama,R,Dec,2009,2009-12-11,34250671.41990892
Nine,61696524.733356014,22481985.20907815,80000000.0,110.0,114.23131782945737,91.0,Rob Marshall,Drama,PG-13,Dec,2009,2009-12-18,68154071.73335601
Youth in Revolt,22090086.56565286,17177921.379462156,18000000.0,90.0,114.23131782945737,76.31803628601921,Miguel Arteta,Comedy,R,Jan,2010,2010-01-08,28690200.56565286
A Serious Man,35910838.08424654,10544361.169215566,30857482.18527316,105.0,262.0,98.0,"Ethan Coen,Joel Coen",Comedy,R,Oct,2009,2009-10-02,41983003.08424654
The American,76300739.25376968,40025658.0195913,20000000.0,105.0,114.23131782945737,65.0,Anton Corbijn,Drama / Thriller,R,Sep,2010,2010-09-01,87330738.25376968
The Imaginarium of Doctor Parnassus,70619832.14084284,8785787.383248577,30000000.0,122.0,607.0,154.0,Terry Gilliam,Fantasy,PG-13,Dec,2009,2009-12-25,81032658.14084284
Case 39,31688775.601129986,14907844.39373372,26000000.0,109.0,114.23131782945737,49.0,Christian Alvart,Horror Thriller,R,Oct,2010,2010-10-01,37107668.60112999
The Young Victoria,31317264.582239892,12569541.816283436,35000000.0,104.0,476.0,133.0,Jean-Marc Vallee,Historical Drama,PG,Dec,2009,2009-12-18,39125696.582239896
Amelia,22442050.679183543,16276148.75196353,40000000.0,120.0,114.23131782945737,76.31803628601921,Mira Nair,Historical Drama,PG,Oct,2009,2009-10-23,29911446.679183543
Astro Boy,45573015.41608207,22338140.00866983,65000000.0,94.0,114.23131782945737,91.0,David Bowers,Animation,PG,Oct,2009,2009-10-23,55809625.41608207
Armored,26212714.87678116,18268146.21776197,20000000.0,88.0,114.23131782945737,38.0,Nimród Antal,Thriller,PG-13,Dec,2009,2009-12-04,33204950.87678116
Takers,77626536.11182448,64911700.50996075,32000000.0,107.0,114.23131782945737,84.0,John Luessenhop,Action / Crime,PG-13,Aug,2010,2010-08-27,101160662.11182448
Easy A,84255003.30924167,65649956.22995928,8000000.0,92.0,114.23131782945737,98.0,Will Gluck,Romantic Comedy,PG-13,Sep,2010,2010-09-17,114356229.30924167
Resident Evil: Afterlife,337490864.50306344,67591417.33279525,60000000.0,100.0,114.23131782945737,56.0,Paul W.S. Anderson,Action Horror,R,Sep,2010,2010-09-10,373099967.50306344
Dear John,129247476.48530653,89945876.61444767,25000000.0,108.0,114.23131782945737,84.0,Lasse Hallstrom,Romance,PG-13,Feb,2010,2010-02-05,164394905.48530653
The Hurt Locker,56248790.803637594,19443759.502183773,15000000.0,130.0,535.0,76.31803628601921,Kathryn Bigelow,War,R,Jun,2009,2009-06-26,110236633.8036376
The Twilight Saga: New Moon,810882795.4197178,338908370.8921072,50000000.0,130.0,114.23131782945737,133.0,Chris Weitz,Romance,PG-13,Nov,2009,2009-11-20,1033002744.4197178
The Ghost Writer,67696782.87118906,17470486.897310782,45000000.0,128.0,819.0,119.0,Roman Polanski,Thriller,PG-13,Feb,2010,2010-02-19,73597385.87118906
Furry Vengeance,40734225.86491544,19818668.51084125,35000000.0,92.0,114.23131782945737,77.0,Roger Kumble,Family Comedy,PG,Apr,2010,2010-04-30,48547056.86491544
Remember Me,62987405.765858315,21434892.820192978,16000000.0,128.0,114.23131782945737,63.0,Allen Coulter,Romance,PG-13,Mar,2010,2010-03-12,78376656.76585832
Letters to Juliet,89009385.47895953,59614570.93297135,30000000.0,105.0,114.23131782945737,105.0,Gary Winick,Romance,PG,May,2010,2010-05-14,124781940.47895953
The Twilight Saga: Eclipse,785184535.0581502,337832221.1043035,68000000.0,124.0,114.23131782945737,114.0,David Slade,Romance,PG-13,Jun,2010,2010-06-30,998946513.0581502
Brothers,49493531.21783189,32613226.454364512,26000000.0,110.0,114.23131782945737,49.0,Jim Sheridan,Drama,R,Dec,2009,2009-12-04,62056443.21783189
The Last Exorcism,76145396.69075833,46127324.50379719,30857482.18527316,100.0,114.23131782945737,42.0,Daniel Stamm,Horror,PG-13,Aug,2010,2010-08-27,84991755.69075833
Killers,110343077.60648641,52900805.89646696,75000000.0,100.0,114.23131782945737,77.0,Robert Luketic,Action Comedy,PG-13,Jun,2010,2010-06-04,130382654.60648641
Kick-Ass,108127379.67934842,54037668.26576659,30000000.0,117.0,114.23131782945737,77.0,Matthew Vaughn,Action Comedy,R,Apr,2010,2010-04-16,146380495.6793484
The Expendables,308536261.223172,115860864.19488572,80000000.0,103.0,114.23131782945737,70.0,Sylvester Stallone,Action,R,Aug,2010,2010-08-13,381198578.223172
Never Let Me Go,10628767.233371245,2736828.6047620797,15000000.0,104.0,232.0,76.31803628601921,Mark Romanek,Drama / Thriller,R,Sep,2010,2010-09-15,14365048.233371245
Our Family Wedding,24066207.503393624,22769263.302637856,30857482.18527316,90.0,114.23131782945737,76.31803628601921,Rick Famuyiwa,Comedy,PG-13,Mar,2010,2010-03-12,31280395.503393624
Crazy Heart,54163395.302069105,45090080.90315423,7000000.0,111.0,114.23131782945737,170.0,Scott Cooper,Drama,R,Dec,2009,2009-12-16,73334253.3020691
